SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf,1-Sep-13,3-Sep-13,Electorate Business,Darwin,$451.00,0,19http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf22P34 SNOWDON Warren,$108.00,,*,-12.4628271,130.8417772,Lingiari,NT,Labor,Labor,lower,no
GRAY Gary,http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf,21-Sep-13,21-Sep-13,Electorate Business,Kununurra,$348.00,0,12http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf21P34 GRAY Gary,$95.00,,*,-15.7735463,128.739196,Brand,WA,Labor,Labor,lower,no
WYATT Ken,http://www.finance.gov.au/sites/default/files/P34_WYATT_Ken.pdf,25-Sep-13,26-Sep-13,Electorate Business,Kununurra,$348.00,0,19http://www.finance.gov.au/sites/default/files/P34_WYATT_Ken.pdf20P34 WYATT Ken,$190.00,,*,-15.7735463,128.739196,Hasluck,WA,Liberal,Coalition,lower,no
LEY Sussan,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf,4-Nov-13,4-Nov-13,Electorate Business,Ivanhoe,$119.00,0,68http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf27P34 LEY Sussan,$34.00,,,-37.768791,145.042313,Farrer,NSW,Liberal,Coalition,lower,no
JOYCE Barnaby,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby1.pdf,15-Nov-13,15-Nov-13,Electorate Business,Glencoe,$357.00,1,26http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby1.pdf31P34 JOYCE Barnaby1,$357.00,,,-37.687654,140.6113985,New England,NSW,National,Coalition,lower,no
HUTCHINSON Eric,http://www.finance.gov.au/sites/default/files/P34_HUTCHINSON_Eric.pdf,19-Dec-13,19-Dec-13,Electorate Business,Hobart,$108.00,1,25http://www.finance.gov.au/sites/default/files/P34_HUTCHINSON_Eric.pdf20P34 HUTCHINSON Eric,$108.00,,,-42.8819032,147.3238148,Lyons,TAS,Liberal,Coalition,lower,no
RAMSEY Rowan,http://www.finance.gov.au/sites/default/files/P34_RAMSEY_Rowan.pdf,23-Dec-13,23-Dec-13,Electorate Business,Adelaide,$118.00,1,11http://www.finance.gov.au/sites/default/files/P34_RAMSEY_Rowan.pdf20P34 RAMSEY Rowan,$118.00,,,-34.9286212,138.5999594,Grey,SA,Liberal,Coalition,lower,no
WHITELEY Brett,http://www.finance.gov.au/sites/default/files/P34_WHITELEY_Brett.pdf,6-Jan-14,7-Jan-14,Electorate Business,Canberra,$268.00,2,20http://www.finance.gov.au/sites/default/files/P34_WHITELEY_Brett.pdf5P34 WHITELEY Brett,$536.00,,,-35.2819998,149.1286843,Braddon,TAS,Liberal,Coalition,lower,no
WILKIE Andrew,http://www.finance.gov.au/sites/default/files/P34_WILKIE_Andrew.pdf,21-Jan-14,21-Jan-14,Electorate Business,Darwin,$415.00,1,20http://www.finance.gov.au/sites/default/files/P34_WILKIE_Andrew.pdf5P34 WILKIE Andrew,$415.00,,,-12.4628271,130.8417772,Denison,TAS,Independent,Independent,lower,no
PITT Keith,http://www.finance.gov.au/sites/default/files/P34_PITT_Keith.pdf,22-Jan-14,22-Jan-14,Electorate Business,Melbourne,$374.00,1,20http://www.finance.gov.au/sites/default/files/P34_PITT_Keith.pdf5P34 PITT Keith,$374.00,,,-37.814107,144.96328,Hinkler,QLD,National,Coalition,lower,no
KATTER Bob,http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf,23-Jan-14,24-Jan-14,Electorate Business,Cairns,$286.00,2,41http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf5P34 KATTER Bob,$572.00,,,-16.9203338,145.7708595,Kennedy,QLD,AUS,AUS,lower,no
JONES Ewen,http://www.finance.gov.au/sites/default/files/P34_JONES_Ewen.pdf,28-Jan-14,28-Jan-14,Electorate Business,Brisbane,$397.00,1,20http://www.finance.gov.au/sites/default/files/P34_JONES_Ewen.pdf5P34 JONES Ewen,$397.00,,,-27.4710107,153.0234489,Herbert,QLD,Liberal,Coalition,lower,no
O'DWYER Kelly,http://www.finance.gov.au/sites/default/files/P34_O'DWYER_Kelly.pdf,28-Jan-14,28-Jan-14,Electorate Business,Sydney,$375.00,1,21http://www.finance.gov.au/sites/default/files/P34_O'DWYER_Kelly.pdf5P34 O'DWYER Kelly,$375.00,,,-33.8674869,151.2069902,Higgins,VIC,Liberal,Coalition,lower,no
SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf,29-Jan-14,29-Jan-14,Electorate Business,Darwin,$415.00,1,28http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf5P34 SNOWDON Warren,$415.00,,,-12.4628271,130.8417772,Lingiari,NT,Labor,Labor,lower,no
ENTSCH Warren,http://www.finance.gov.au/sites/default/files/P34_ENTSCH_Warren.pdf,7-Feb-14,8-Feb-14,Electorate Business,Sydney,$375.00,2,27http://www.finance.gov.au/sites/default/files/P34_ENTSCH_Warren.pdf5P34 ENTSCH Warren,$750.00,,,-33.8674869,151.2069902,Leichhardt,QLD,Liberal,Coalition,lower,no
SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf,7-Feb-14,8-Feb-14,Electorate Business,Darwin,$415.00,2,50http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf5P34 SNOWDON Warren,$830.00,,,-12.4628271,130.8417772,Lingiari,NT,Labor,Labor,lower,no
WYATT Ken,http://www.finance.gov.au/sites/default/files/P34_WYATT_Ken.pdf,12-Feb-14,12-Feb-14,Electorate Business,Adelaide,$354.00,1,27http://www.finance.gov.au/sites/default/files/P34_WYATT_Ken.pdf5P34 WYATT Ken,$354.00,,,-34.9286212,138.5999594,Hasluck,WA,Liberal,Coalition,lower,no
KATTER Bob,http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf,13-Feb-14,13-Feb-14,Electorate Business,Brisbane,$133.00,1,55http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf5P34 KATTER Bob,$133.00,,,-27.4710107,153.0234489,Kennedy,QLD,AUS,AUS,lower,no
SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf,16-Feb-14,17-Feb-14,Electorate Business,Darwin,$415.00,2,71http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf5P34 SNOWDON Warren,$830.00,,,-12.4628271,130.8417772,Lingiari,NT,Labor,Labor,lower,no
KATTER Bob,http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf,17-Feb-14,17-Feb-14,Electorate Business,Cairns,$286.00,1,62http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf5P34 KATTER Bob,$286.00,,,-16.9203338,145.7708595,Kennedy,QLD,AUS,AUS,lower,no
WILSON Rick,http://www.finance.gov.au/sites/default/files/P34_WILSON_Rick.pdf,22-Feb-14,22-Feb-14,Electorate Business,Perth,$401.00,1,69http://www.finance.gov.au/sites/default/files/P34_WILSON_Rick.pdf5P34 WILSON Rick,$401.00,,,-31.9535132,115.8570471,O'Connor,WA,Liberal,Coalition,lower,no
TEHAN Dan,http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf,27-Feb-14,27-Feb-14,Electorate Business,Melbourne,$125.00,1,49http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf5P34 TEHAN Dan,$125.00,,,-37.814107,144.96328,Wannon,VIC,Liberal,Coalition,lower,no
CHRISTENSEN George,http://www.finance.gov.au/sites/default/files/P34_CHRISTENSEN_George.pdf,28-Feb-14,1-Mar-14,Electorate Business,Toowoomba,$278.00,2,55http://www.finance.gov.au/sites/default/files/P34_CHRISTENSEN_George.pdf5P34 CHRISTENSEN George,$556.00,,,-27.56433,151.9539874,Dawson,QLD,National,Coalition,lower,no
HOWARTH Luke,http://www.finance.gov.au/sites/default/files/P34_HOWARTH_Luke.pdf,28-Feb-14,28-Feb-14,Electorate Business,Toowoomba,$278.00,1,34http://www.finance.gov.au/sites/default/files/P34_HOWARTH_Luke.pdf5P34 HOWARTH Luke,$278.00,,,-27.56433,151.9539874,Petrie,QLD,Liberal,Coalition,lower,no
SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf,28-Feb-14,1-Mar-14,Electorate Business,Darwin,$415.00,2,85http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf5P34 SNOWDON Warren,$830.00,,,-12.4628271,130.8417772,Lingiari,NT,Labor,Labor,lower,no
WILSON Rick,http://www.finance.gov.au/sites/default/files/P34_WILSON_Rick.pdf,28-Feb-14,28-Feb-14,Electorate Business,Perth,$401.00,1,90http://www.finance.gov.au/sites/default/files/P34_WILSON_Rick.pdf5P34 WILSON Rick,$401.00,,,-31.9535132,115.8570471,O'Connor,WA,Liberal,Coalition,lower,no
COBB John,http://www.finance.gov.au/sites/default/files/P34_COBB_John.pdf,6-Mar-14,6-Mar-14,Electorate Business,Sydney,$375.00,1,41http://www.finance.gov.au/sites/default/files/P34_COBB_John.pdf5P34 COBB John,$375.00,,,-33.8674869,151.2069902,Calare,NSW,National,Coalition,lower,no
BROAD Andrew,http://www.finance.gov.au/sites/default/files/P34_BROAD_Andrew.pdf,7-Mar-14,8-Mar-14,Electorate Business,Canberra,$268.00,2,97http://www.finance.gov.au/sites/default/files/P34_BROAD_Andrew.pdf5P34 BROAD Andrew,$536.00,,,-35.2819998,149.1286843,Mallee,VIC,National,Coalition,lower,no
O'DOWD Ken,http://www.finance.gov.au/sites/default/files/P34_O'DOWD_Ken.pdf,7-Mar-14,7-Mar-14,Electorate Business,Bundaberg,$278.00,1,76http://www.finance.gov.au/sites/default/files/P34_O'DOWD_Ken.pdf5P34 O'DOWD Ken,$278.00,,,-24.8653911,152.3487394,Flynn,QLD,National,Coalition,lower,no
MCCORMACK Michael,http://www.finance.gov.au/sites/default/files/P34_MCCORMACK_Michael.pdf,11-Mar-14,11-Mar-14,Electorate Business,Gladstone,$357.00,1,97http://www.finance.gov.au/sites/default/files/P34_MCCORMACK_Michael.pdf5P34 MCCORMACK Michael,$357.00,,,-40.9599627,148.0096034,Riverina,NSW,National,Coalition,lower,no
MCCORMACK Michael,http://www.finance.gov.au/sites/default/files/P34_MCCORMACK_Michael.pdf,12-Mar-14,12-Mar-14,Electorate Business,Sydney,$432.00,1,104http://www.finance.gov.au/sites/default/files/P34_MCCORMACK_Michael.pdf5P34 MCCORMACK Michael,$432.00,,,-33.8674869,151.2069902,Riverina,NSW,National,Coalition,lower,no
LANDRY Michelle,http://www.finance.gov.au/sites/default/files/P34_LANDRY_Michelle.pdf,13-Mar-14,13-Mar-14,Electorate Business,Mackay,$298.00,1,55http://www.finance.gov.au/sites/default/files/P34_LANDRY_Michelle.pdf5P34 LANDRY Michelle,$298.00,,,-21.1412101,149.1856253,Capricornia,QLD,National,Coalition,lower,no
WHITELEY Brett,http://www.finance.gov.au/sites/default/files/P34_WHITELEY_Brett.pdf,15-Mar-14,15-Mar-14,Electorate Business,Hobart,$322.00,1,48http://www.finance.gov.au/sites/default/files/P34_WHITELEY_Brett.pdf5P34 WHITELEY Brett,$322.00,,,-42.8819032,147.3238148,Braddon,TAS,Liberal,Coalition,lower,no
O'NEIL Clare,http://www.finance.gov.au/sites/default/files/P34_O'NEIL_Clare.pdf,20-Mar-14,20-Mar-14,Electorate Business,Sydney,$375.00,1,41http://www.finance.gov.au/sites/default/files/P34_O'NEIL_Clare.pdf5P34 O'NEIL Clare,$375.00,,,-33.8674869,151.2069902,Hotham,VIC,Labor,Labor,lower,no
TEHAN Dan,http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf,20-Mar-14,20-Mar-14,Electorate Business,Melbourne,$125.00,1,70http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf5P34 TEHAN Dan,$125.00,,,-37.814107,144.96328,Wannon,VIC,Liberal,Coalition,lower,no
KATTER Bob,http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf,24-Mar-14,24-Mar-14,Electorate Business,Brisbane,$397.00,1,104http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf5P34 KATTER Bob,$397.00,,,-27.4710107,153.0234489,Kennedy,QLD,AUS,AUS,lower,no
TEHAN Dan,http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf,27-Mar-14,28-Mar-14,Electorate Business,Townsville,$278.00,2,84http://www.finance.gov.au/sites/default/files/P34_TEHAN_Dan.pdf5P34 TEHAN Dan,$556.00,,,-19.2576223,146.8178787,Wannon,VIC,Liberal,Coalition,lower,no
MCGOWAN Cathy,http://www.finance.gov.au/sites/default/files/P35_MCGOWAN_Cathy.pdf,29-Mar-14,29-Mar-14,Electorate Business,Echuca,$278.00,1,25http://www.finance.gov.au/sites/default/files/P35_MCGOWAN_Cathy.pdf20P35 MCGOWAN Cathy,$278.00,,,-36.1277236,144.7494973,Indi,VIC,Independent,Independent,lower,no
BROAD Andrew,http://www.finance.gov.au/sites/default/files/P34_BROAD_Andrew.pdf,31-Mar-14,31-Mar-14,Electorate Business,Ballarat,$278.00,1,125http://www.finance.gov.au/sites/default/files/P34_BROAD_Andrew.pdf5P34 BROAD Andrew,$278.00,,,-37.5636495,143.8671868,Mallee,VIC,National,Coalition,lower,no
