BRANDIS George,Brisbane,Sydney,04/12/2011,"-$1,191.06",,http://www.finance.gov.au/sites/default/files/P34_BRANDIS_George.pdf,,QLD,Liberal,Coalition,senate
BRANDIS George,Sydney,Brisbane,05/12/2011,,,http://www.finance.gov.au/sites/default/files/P34_BRANDIS_George.pdf,,QLD,Liberal,Coalition,senate
CORMANN Mathias,Perth,Canberra,17/06/2012,"-$1,291.25",,http://www.finance.gov.au/sites/default/files/P34_CORMANN_Mathias0.pdf,,WA,Liberal,Coalition,senate
PERRETT Graham,Fitzroy Crossing,Broome,11/07/2012,,,http://www.finance.gov.au/sites/default/files/P34_PERRETT_Graham.pdf,Moreton,QLD,Labor,Labor,lower
SMYTH Laura,Fitzroy Crossing,Broome,11/07/2012,,,http://www.finance.gov.au/sites/default/files/P34_SMYTH_Laura.pdf,La Trobe,VIC,Labor,Labor,lower
STONE Sharman,Fitzroy Crossing,Broome,11/07/2012,,,http://www.finance.gov.au/sites/default/files/P34_STONE_Sharman.pdf,Murray,VIC,Liberal,Coalition,lower
SINGH Lisa,Hobart,Melbourne,16/09/2012,-$273.00,,http://www.finance.gov.au/sites/default/files/P34_SINGH_Lisa.pdf,,TAS,Labor,Labor,senate
KATTER Bob,Townsville,Brisbane,11/01/2013,"$1,140.09",,http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf,Kennedy,QLD,AUS,AUS,lower
KATTER Bob,Brisbane,Melbourne,11/01/2013,,,http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf,Kennedy,QLD,AUS,AUS,lower
KATTER Bob,Brisbane,Townsville,12/01/2013,,,http://www.finance.gov.au/sites/default/files/P34_KATTER_Bob.pdf,Kennedy,QLD,AUS,AUS,lower
FARRELL Don,Adelaide,Melbourne,18/01/2013,$45.46,,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
FARRELL Don,Melbourne,Adelaide,20/01/2013,,"<i>21</i>",http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
TRUSS Warren,Brisbane,Melbourne,21/01/2013,"$1,772.72",,http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf,Wide Bay,QLD,National,Coalition,lower
ALBANESE Anthony,Sydney,Canberra,23/01/2013,$246.80,,http://www.finance.gov.au/sites/default/files/P34_ALBANESE_Anthony.pdf,Grayndler,NSW,Labor,Labor,lower
FARRELL Don,Adelaide,Mount Gambier,24/01/2013,$482.20,,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
TRUSS Warren,Melbourne,Brisbane,24/01/2013,,,http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf,Wide Bay,QLD,National,Coalition,lower
FARRELL Don,Mount Gambier,Adelaide,25/01/2013,,,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
HANSON-YOUNG Sarah,Adelaide,Sydney,28/01/2013,"$1,969.94",,http://www.finance.gov.au/sites/default/files/P34_HANSON-YOUNG_Sarah.pdf,,SA,Greens,Greens,senate
HANSON-YOUNG Sarah,Cairns,Brisbane,01/02/2013,,,http://www.finance.gov.au/sites/default/files/P34_HANSON-YOUNG_Sarah.pdf,,SA,Greens,Greens,senate
HANSON-YOUNG Sarah,Brisbane,Adelaide,01/02/2013,,,http://www.finance.gov.au/sites/default/files/P34_HANSON-YOUNG_Sarah.pdf,,SA,Greens,Greens,senate
JOYCE Barnaby,St George,Brisbane,03/02/2013,$596.70,,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby0.pdf,New England,NSW,National,Coalition,lower
GRIGGS Natasha,Canberra,Sydney,08/02/2013,-$153.62,,http://www.finance.gov.au/sites/default/files/P35_GRIGGS_Natasha.pdf,Solomon,NT,CLP,CLP,lower
SYMON Mike,Melbourne,Canberra,09/02/2013,$564.50,,http://www.finance.gov.au/sites/default/files/P34_SYMON_Mike.pdf,Deakin,VIC,Labor,Labor,lower
WHISH-WILSON Peter,Hobart,Melbourne,15/02/2013,-$556.00,,http://www.finance.gov.au/sites/default/files/P34_WHISH-WILSON_Peter.pdf,,TAS,Greens,Greens,senate
WHISH-WILSON Peter,Hobart,Melbourne,15/02/2013,-$416.44,,http://www.finance.gov.au/sites/default/files/P34_WHISH-WILSON_Peter.pdf,,TAS,Greens,Greens,senate
WHISH-WILSON Peter,Melbourne,Launceston,17/02/2013,-$269.09,,http://www.finance.gov.au/sites/default/files/P34_WHISH-WILSON_Peter.pdf,,TAS,Greens,Greens,senate
MCKENZIE Bridget,Melbourne,Albury,18/02/2013,$40.00,,http://www.finance.gov.au/sites/default/files/P34_MCKENZIE_Bridget.pdf,,VIC,National,Coalition,senate
LAMING Andrew,Brisbane,Sydney,27/02/2013,$72.73,,http://www.finance.gov.au/sites/default/files/P34_LAMING_Andrew.pdf,Bowman,QLD,Liberal,Coalition,lower
LAMING Andrew,Brisbane,Sydney,27/02/2013,$99.09,,http://www.finance.gov.au/sites/default/files/P34_LAMING_Andrew.pdf,Bowman,QLD,Liberal,Coalition,lower
WHISH-WILSON Peter,Canberra,Melbourne,01/03/2013,-$634.22,,http://www.finance.gov.au/sites/default/files/P34_WHISH-WILSON_Peter.pdf,,TAS,Greens,Greens,senate
JOYCE Barnaby,Brisbane,Toowoomba,01/03/2013,$875.00,,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby0.pdf,New England,NSW,National,Coalition,lower
JOYCE Barnaby,Toowoomba,St George,01/03/2013,,,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby0.pdf,New England,NSW,National,Coalition,lower
WHISH-WILSON Peter,Melbourne,Hobart,01/03/2013,,"<i>4</i>",http://www.finance.gov.au/sites/default/files/P34_WHISH-WILSON_Peter.pdf,,TAS,Greens,Greens,senate
